20220304||||||||
IBOV|IBRX100|Empresa|Valor (R$ Mil) em 25/02/2022|Valor (R$ Mil) em 31/01/2022|Var (%)|Valor (USD Mil) em 25/02/2022|Valor (USD Mil) em 31/01/2022|Var (%)
*|**|3R PETROLEUM|6863853482.64|7747159302.72|-11.40|1335535954.00|1446066992.00|-7.64
||3TENTOS|4956068822.94|4842352940.60|2.35|964328292.00|903862497.00|6.69
||ABC BRASIL|1757256430.80|1784291145.12|-1.52|341918596.00|333051694.00|2.66
||ACO ALTONA|190837500.00|195390000.00|-2.33|37132253.00|36471049.00|1.81
||AERIS|4352092430.08|4942076791.20|-11.94|846809439.00|922476722.00|-8.20
||AES BRASIL|5669066822.40|5811777705.95|-2.46|1103060050.00|1084813101.00|1.68
||AESOPERACOES||||0.00|0.00|
||AFLUENTE T|536219950.00|577225005.00|-7.10|104335127.00|107743496.00|-3.16
||AGRIBRASIL||||0.00|0.00|
||AGROGALAXY|1879074879.00|1901282127.57|-1.17|365621450.00|354888962.00|3.02
||ALFA CONSORC|527111858.42|500711995.20|5.27|102562918.00|93461753.00|9.74
||ALFA FINANC|508137307.64|550640518.65|-7.72|98870940.00|102781297.00|-3.80
||ALFA HOLDING|531106719.98|514130554.58|3.30|103340219.00|95966430.00|7.68
||ALFA INVEST|663267189.61|637196316.35|4.09|129055374.00|118937603.00|8.51
||ALIANSCSONAE|5908128854.94|6025068877.26|-1.94|1149575603.00|1124625542.00|2.22
||ALIPERTI|27448876.43|27448876.43|0.00|5340872.00|5123544.00|4.24
||ALLIAR|2005063231.20|1951831464.00|2.73|390135664.00|364324386.00|7.08
||ALLIED|1229579476.58|1496190341.10|-17.82|239245725.00|279275458.00|-14.33
*|**|ALPARGATAS|16223938429.84|16176696707.42|0.29|3156776750.00|3019505116.00|4.55
||ALPER S.A.|492460000.36|519878125.96|-5.27|95820524.00|97039259.00|-1.26
||ALPHAVILLE|725150935.90|656558606.26|10.45|141096419.00|122551724.00|15.13
||ALUPAR|7548635459.12|7454863561.12|1.26|1468777573.00|1391507739.00|5.55
||AMAZONIA|1224081977.43|1200661663.50|1.95|238176047.00|224112753.00|6.28
*|**|AMBEV S/A|239315672968.80|235694448969.93|1.54|46564905041.00|43994185420.00|5.84
||AMBIPAR|3862397109.60|4459826370.12|-13.40|751526853.00|832460964.00|-9.72
*|**|AMERICANAS|27666822670.00|28658272345.08|-3.46|5383278723.00|5349287405.00|0.64
||AMPLA ENERG|3001084211.26|3834255841.26|-21.73|583936687.00|715693404.00|-18.41
||ANIMA|2895739331.85|3566161548.15|-18.80|563439182.00|665651538.00|-15.36
||AREZZO CO|8917648907.18|8152109002.01|9.39|1735153696.00|1521653974.00|14.03
||ARMAC|5314323837.77|7419999320.66|-28.38|1034035848.00|1385000060.00|-25.34
*|**|ASSAI|18129465562.72|16874062813.86|7.44|3527545154.00|3149673874.00|12.00
||ATMASA|67577200.68|76124514.60|-11.23|13148850.00|14209227.00|-7.46
